,premise,hypothesis,lang_abv,label
0,Và những bình luận này đã được xem xét trong việc thiết lập các quy tắc tạm thời.,Các quy tắc được phát triển trong thời gian tạm thời được kết hợp với những bình luận này trong tâm trí.,vi,0
1,"Đây là những vấn đề mà chúng ta đang phải đối mặt với trong thực tế các nhóm các công ty pháp luật, cô nói.",Các nhóm thực hành không được phép làm việc trên các vấn đề này.,vi,2
2,Bạn biết họ thực sự không thể tự bảo vệ mình như ai đó lớn lên uh nói tuổi của tôi bạn biết có,Họ không thể tự bảo vệ bản thân vì tuổi tác của họ.,vi,0
3,Từ Cockpit Country đến St. Ann's Bay,Từ St. Ann's Bay đến Cockpit Country.,vi,2
4,"Nhìn, đó là làn da của bạn, nhưng bạn sẽ gặp rắc rối nếu bạn không bận rộn.",Ông chủ sẽ bắn bạn nếu ông ấy nhìn thấy bạn rời đi.,vi,1
5,"“Nếu các con người chỉ biết thật dễ dàng để độc một ai đó một cách sai lầm, thì các con sẽ không nói chuyện với nó.",Nhiều người đã nghiện một người một cách sai lầm.,vi,1
6,"Ngôi góc nhỏ của tôi của thế giới, chính trị lôi cuốn, là một ví dụ.",Một ví dụ là chính sách lừa dối.,vi,0
7,cuộc sống trong tù sau đó anh ta có sẵn cho lời tuyên bố nếu đó là nếu đó là cuộc sống và một ngày sau đó anh ta không đủ điều kiện cho lời tuyên bố vì vậy những gì bạn biết chúng ta hãy bỏ BSing với hệ thống,Hệ thống bị phá hủy bởi vì anh ta sẽ không thể nhận được lời khuyên nếu đó là cuộc sống và một ngày.,vi,1
8,"Các đường phố bị sụp đổ với các nhà cung cấp bán các món quà thiêng liêng của đồ ngọt, kẹo và dưa chuột, cũng như dưa chuột và hình ảnh thiêng liêng.",Các nhà bán hàng đã lấp lánh các đường phố với bẫy và ngọn lửa.,vi,2
9,"Ở phía bắc của Mytilini, dừng lại tại ngôi làng Moria, nơi bạn sẽ tìm thấy những phần còn lại của một hồ nước La Mã khổng lồ được bao quanh bởi những con gấu.",Không có gì đặc biệt để thấy trong làng Moria.,vi,2
10,"Tăng tiết kiệm của các thế hệ hiện tại sẽ mở rộng cổ phiếu của quốc gia, cho phép các thế hệ trong tương lai có thể chịu đựng tốt hơn chi phí nghỉ hưu của quốc gia trong khi cũng tận hưởng mức sống cao hơn.","Tiết kiệm gia tăng của các thế hệ hiện tại sẽ mở rộng kho vốn của quốc gia, cho phép các thế hệ trong tương lai dễ dàng hơn để đáp ứng chi phí nghỉ hưu của quốc gia trong khi cũng tận hưởng tiêu chuẩn sống cao hơn.",vi,0
11,Đó chỉ là sự khởi đầu!”,Một chuyến đi tuyệt vời sắp bắt đầu!,vi,1
12,"Bảng xếp hạng bán chạy nhất của Anh, The Sun, đã công bố như một trang trước thế giới độc quyền vào thứ Sáu rằng mô hình Texan Jerry Hall đã bắt đầu thủ tục ly hôn chống lại ngôi sao rock già Mick Jagger tại Tòa án Tối cao ở London.",Mặt trời tạo ra hàng triệu tin tức giả mỗi năm.,vi,1
13,Savonarola bị đốt cháy ở Florence,Florence trở thành ngôi nhà mới của Savonarola.,vi,2
14,Nó sẽ là tàn bạo!”,Nó sẽ khổng lồ.,vi,0
15,Người ta nói rằng người đàn ông ở đây.,Ông nói rằng những người đàn ông không ở đây.,vi,2
16,Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh,"Vâng, Petting và những thứ khác.",vi,0
17,"Khu gần trung tâm Massabielle (faubourg de Massabielle), đôi khi được mô tả là đẹp nhất trong thành phố.",Khu vực Massabielle được coi là khu vực photogenic nhất.,vi,0
18,4) Không đủ được biết về cách chi phí không vận chuyển thay đổi theo khoảng cách.,Cách cách nào khoảng cách ảnh hưởng đến chi phí không vận chuyển là một chủ đề chúng tôi không có đủ thông tin về.,vi,0
19,Tôi rất ngạc nhiên khi chúng ta có rất nhiều người ở đây trong chính trị.,Tôi ngạc nhiên rằng không nhiều người trong số họ đang ở trong chính trị dưới đây.,vi,2
20,Dự thảo hợp đồng là đền thờ của Tommy.,Thỏa thuận này không dành cho Tommy.,vi,2
21,"Do đó, số lượng các nhà làm bánh thực sự có thể phát triển nhanh hơn so với dự kiến.",Số lượng các nhà sản xuất dưa chuột sẽ giảm đáng kể như dự kiến.,vi,2
22,"Trong suốt cuộc sống của ông Assad, ông có thể quản lý những vấn đề này và duy trì thỏa thuận với Israel.","Cho đến khi Assad không chết, ông sẽ có thể chăm sóc các vấn đề.",vi,0
23,Bốn đứa trẻ của Javis? hỏi Severn.,Severn biết tất cả về những đứa trẻ của Jarvis.,vi,1
24,Bộ não của tôi từ chối điều khiển đúng cách.,Bộ não của tôi không lệnh đúng cách.,vi,0
25,"""Vì vậy cô gái của bạn viết rằng hoạt động lời tạm biệt nhỏ của bạn không tốt như vậy, phải không?""",Hành động lời tạm biệt của bạn đã không đi tốt.,vi,0
26,Bạn phải đi qua nó).,Bạn cần phải đi qua nó trên chân.,vi,0
27,"Không, tôi bị trừng phạt, ngạc nhiên.",“Không!” tôi hét lên trong nỗi sốc.,vi,0
28,"Bauerstein đã ở Styles vào đêm chết người, và nói thêm: ""Ông nói hai lần: 'Điều này thay đổi mọi thứ.'",Phong cách chịu trách nhiệm cho những gì đã xảy ra.,vi,1
29,"Đã lâu rồi - hoặc xa, hoặc bất cứ điều gì - có một thế giới gọi là Thar? và một thế giới khác gọi là Erath.",Erath là thế giới duy nhất từng tồn tại.,vi,2
30,"Sau đó, tất cả thời gian, nó đang ở trong bồn chồn trong phòng ngủ của bà Inglethorp, dưới mũi của chúng ta?","Vì vậy, nó đã ẩn trong một quốc gia khác, không thể cho chúng ta để tìm thấy?",vi,2
31,bởi vì tôi luôn phải làm điều đó và vì vậy tôi chỉ trả tiền cho người khác để làm điều đó và họ làm những gì họ làm việc cắt chúng bôi trơn họ um edge và um i nghĩ năm nay tôi sẽ có một số cảnh quan đặt trong,Tôi chưa bao giờ phát triển một tình yêu cho vườn.,vi,1
