,premise,hypothesis,lang_abv,label
0,Και αυτά τα σχόλια εξετάστηκαν στη διατύπωση των προσωρινών κανόνων.,Οι κανόνες που αναπτύχθηκαν κατά την προσωρινή περίοδο συνδυάστηκαν με αυτά τα σχόλια.,el,0
1,"Αυτά είναι τα ζητήματα που αντιμετωπίζουμε στην πράξη με ομάδες νομικών εταιρειών, είπε.",Οι ομάδες πρακτικής δεν επιτρέπεται να εργαστούν σε αυτά τα θέματα.,el,2
2,Ξέρετε ότι δεν μπορούν πραγματικά να υπερασπιστούν τον εαυτό τους όπως κάποιος μεγάλωσε uh λέει την ηλικία μου ξέρετε ναι,Δεν μπορούν να υπερασπιστούν τον εαυτό τους λόγω της ηλικίας τους.,el,0
3,Από το Cockpit Country μέχρι το St. Ann's Bay,Από το St. Ann's Bay μέχρι το Cockpit Country.,el,2
4,"Κοιτάξτε, είναι το δέρμα σας, αλλά θα είστε σε δυσκολία αν δεν είστε απασχολημένοι.",Ο επικεφαλής θα σε πυροβολήσει αν σε δει να σκαρφαλώνει.,el,1
5,"«Αν οι άνθρωποι ήξεραν μόνο πόσο θανατηφόρα είναι να δηλητηριάζεις κάποιον με λάθος, δεν θα γέμισες γι’ αυτό.",Πολλοί άνθρωποι έχουν δηλητηριάσει κάποιον με λάθος.,el,1
6,"Η δική μου μικρή γωνία του κόσμου, η πολιτική κούραση, είναι ένα παράδειγμα.",Ένα παράδειγμα είναι το πολιτικό κενό.,el,0
7,"ζωή στη φυλακή τότε είναι διαθέσιμο για διαθήκη αν είναι αν είναι ζωή και μια μέρα τότε δεν είναι επιλέξιμος για διαθήκη, οπότε τι γνωρίζετε ας εγκαταλείψουμε BSing με το σύστημα",Το σύστημα είναι κατεστραμμένο επειδή δεν θα είναι σε θέση να πάρει το χάρισμα αν είναι ζωή και μια μέρα.,el,1
8,"Οι δρόμοι είναι χτυπημένοι με τους προμηθευτές που πωλούν ιερά προσφορές από γλυκά, κουρτίνες και καρύδια, καθώς και γκαράζ και ιερές εικόνες.",Οι πωλητές έχουν συνδέσει τους δρόμους με καταιγίδες και πυρκαγιές.,el,2
9,"Βόρεια του Mytilini, σταματήστε στο χωριό Moria, όπου θα βρείτε τα υπολείμματα ενός τεράστιου ρωμαϊκού ενυδρείου που περιβάλλεται από αράχνες.",Δεν υπάρχει τίποτα ιδιαίτερο για να δείτε στο χωριό Moria.,el,2
10,"Η αύξηση της εξοικονόμησης από τις τρέχουσες γενιές θα επεκτείνει το κεφάλαιο του έθνους, επιτρέποντας στις μελλοντικές γενιές να ανταποκρίνονται καλύτερα στα συνταξιοδοτικά έξοδα του έθνους και ταυτόχρονα να απολαμβάνουν υψηλότερα πρότυπα διαβίωσης.","Η αυξημένη εξοικονόμηση των σημερινών γενεών θα επεκτείνει το κεφάλαιο του έθνους, επιτρέποντας στις μελλοντικές γενιές να καταβάλλουν πιο εύκολα τα έξοδα συνταξιοδότησης του έθνους, ενώ ταυτόχρονα απολαμβάνουν υψηλότερα πρότυπα διαβίωσης.",el,0
11,Είναι μόνο η αρχή!»,Ένα μεγάλο ταξίδι πρόκειται να ξεκινήσει!,el,1
12,"Το best-selling tabloid της Βρετανίας, το Sun, ανακοίνωσε την Παρασκευή ότι η μοντέλο της Τέξας, Jerry Hall, έχει ξεκινήσει διαδικασία διαζυγίου εναντίον του ηλικιωμένου rock star Mick Jagger στο High Court του Λονδίνου.",Ο ήλιος κάνει εκατομμύρια κάθε χρόνο από ψευδείς ειδήσεις.,el,1
13,Η Σαβονάρολα καίγεται στη Φλωρεντία,Η Φλωρεντία έγινε το νέο σπίτι της Savonarola.,el,2
14,Θα είναι κολοσσιαίο!»,Θα είναι γιγάντια.,el,0
15,Λέει ότι οι άνθρωποι είναι εδώ.,Είπε ότι οι άντρες δεν ήταν εδώ.,el,2
16,"Ναι, Ναι, Ναι, Ναι, Ναι, Ναι, Ναι, Ναι, Ναι","Ναι, πένθος και άλλα πράγματα.",el,0
17,"Το σχεδόν κεντρικό τμήμα Massabielle (faubourg de Massabielle), μερικές φορές περιγράφεται ως το πιο γραφικό στην πόλη.",Το τμήμα Massabielle θεωρείται το πιο φωτογενές.,el,0
18,4) Δεν είναι αρκετά γνωστό για το πώς το κόστος μη μεταφοράς ποικίλλει με την απόσταση.,Ο τρόπος με τον οποίο η απόσταση επηρεάζει το κόστος μη μεταφοράς είναι ένα θέμα που δεν έχουμε αρκετές πληροφορίες.,el,0
19,"«Είμαι έκπληκτος, όμως, ότι έχουμε τόσους πολλούς που είναι στην πολιτική εδώ κάτω.",«Είμαι έκπληκτος που πολλοί από αυτούς δεν είναι στην πολιτική εδώ κάτω.,el,2
20,Το σχέδιο συνθήκης ήταν το μπαίτο του Τόμι.,Η συμφωνία δεν ήταν για τον Τόμι.,el,2
21,"Ως εκ τούτου, ο αριθμός των καλλιεργητών μπορεί πραγματικά να αυξηθεί ταχύτερα από ό, τι είχε προβλεφθεί.",Ο αριθμός των καλλιεργητών θα μειωθεί δραματικά όπως αναμένεται.,el,2
22,"Όσο ζει ο Άσαντ, μπορεί να διαχειριστεί αυτές τις δυσκολίες και να διατηρήσει συμφωνία με το Ισραήλ.","Όσο ο Άσαντ δεν πεθάνει, θα είναι σε θέση να φροντίσει τις δυσκολίες.",el,0
23,Τα τέσσερα παιδιά του Ιαβίς; ρώτησε ο Σεβέρν.,Ο Σέβερν ξέρει τα πάντα για τα παιδιά του Τζάρβις.,el,1
24,Ο εγκέφαλός μου αρνείται να ελέγξει σωστά.,Ο εγκέφαλός μου δεν εντοπίστηκε σωστά.,el,0
25,"«Τότε η κοπέλα σου γράφει ότι η μικρή δραστηριότητα του αποχαιρετισμού σου δεν πήγε τόσο καλά, ναι;» έγραψε.",Η αποχαιρετιστική σας δραστηριότητα δεν πήγε καλά.,el,0
26,Πρέπει να περπατάς μέσα από αυτό).,Πρέπει να το περάσετε με τα πόδια.,el,0
27,"Όχι, απογοητεύτηκα και έκπληκτος.",«Όχι!» φώναξα με σοκ.,el,0
28,Ο Bauerstein ήταν στο Styles τη θανατηφόρα νύχτα και πρόσθεσε: «Έχει πει δύο φορές: ‘Αυτό αλλάζει τα πάντα.’,Το στυλ είναι υπεύθυνο για αυτό που συνέβη.,el,1
29,"Πριν από πολύ καιρό – ή μακριά, ή οτιδήποτε άλλο – υπήρχε ένας κόσμος που ονομάζεται Θάρ; και ένας άλλος που ονομάζεται Εραθ.",Η Εραθ είναι ο μόνος κόσμος που υπήρχε ποτέ.,el,2
30,"Τότε, όλη την ώρα, ήταν μέσα στο φούρνο στο υπνοδωμάτιο της κυρίας Inglethorp, κάτω από τις μύες μας; Φώναξα.","Έτσι ήταν κρυμμένο σε άλλη χώρα, αδύνατο για εμάς να εντοπίσει;",el,2
31,Επειδή πάντα έπρεπε να το κάνω και έτσι απλά πληρώνω κάποιον άλλο να το κάνει και κάνουν αυτό που κάνουν το κομμάτι που γονιμοποιούν το ένα άκρο και το ένα σκέφτομαι ότι φέτος θα έχω κάποιο τοπίο που θα βάλει σε,Δεν έχω αναπτύξει ποτέ αγάπη για τον κήπο.,el,1
32,«Είναι ελαφρώς εμμονή για τη σούπα της.,Η σόδα της είναι τόσο περίπλοκη που είναι παγιδευμένη με την τελειοποίηση κάθε συστατικού.,el,1
33,"Αντίθετα, τα παιδιά σήμερα δεν είναι μόνο μικρές συσσωρεύσεις χαράς, αλλά είναι επίσης ίσως το απόλυτο σύμβολο της παγκόσμιας επιτυχίας και της κατάστασης.","Ενώ τα παιδιά σήμερα είναι σύμβολα επιτυχίας και κατάστασης, και οι γονείς τους είναι επίσης.",el,1
34,Ο εμφύλιος πόλεμος της Κίνας έστειλε ενοχλητικές εκοές στο Χονγκ Κονγκ.,Η Ιαπωνία πολέμησε έναν εμφύλιο πόλεμο.,el,2
35,"Οι επτά επιχορηγήσεις προκύπτουν από ένα νέο πρόγραμμα οικοδόμησης ικανοτήτων μη κερδοσκοπικού χαρακτήρα στο ίδρυμα, μέρος μιας τάσης μεταξύ των φιλανθρωπιστών να δίνουν χρήματα για να βοηθήσουν τις οργανώσεις να γίνουν ισχυρότερες, αντί για τις υπηρεσίες του προγράμματος που παρέχουν.","Οι επιχορηγήσεις ρέουν από ένα μη κερδοσκοπικό πρόγραμμα οικοδόμησης ικανοτήτων στο ίδρυμα, αντιπροσωπεύοντας μια τάση μεταξύ των φιλανθρωπικών να δίνουν χρήματα για να αναπτύξουν οργανισμούς και στη συνέχεια να τα πάρουν.",el,1
36,"Ή, η επιλεξιμότητα θα μπορούσε να περιοριστεί σε εκείνους που είναι ήδη έγκυος, ή τουλάχιστον σεξουαλικά ενεργός, σε εκείνους άνω των 13 ετών ή κάτω των 21 ετών, ή κάποια συνδυασμό αυτών.",Η ηλικία της συγκατάθεσης είναι επίσης 21 ετών.,el,1
37,"Σε αυτό το πλαίσιο, η επιστροφή του Steve Jobs για να σώσει την Apple είναι σαν να φέρνει το γονίδιο.",Ο Steve Jobs επιστρέφει στην Apple,el,0
38,Ή είχαν κάποιον στο σπίτι που ήταν άρρωστο ότι έπρεπε να τείνουν σε μένα σημαίνει ότι δεν μπορείτε να το κάνετε όλοι,Δεν είχαν τίποτα να κάνουν.,el,2
39,"Λίγοι, όπως και ο Pearl K. Bell στο Wall Street Journal, βρίσκουν μια επιφάνεια της γλυκώς υπακοής διδασκαλίας στο μυθιστόρημα και λένε ότι τα μέρη είναι επικίνδυνα στο άκρο της συναισθηματικότητας.",Διαμαρτύρονταν ότι το μυθιστόρημα έλειπε συναισθήματα.,el,2
40,"Κανένα πρόβλημα, καλή πολιτική.","Μην ανησυχείτε, μια καλή πολιτική.",el,0
41,"Το m??tro (μετρό) είναι ο ταχύτερος τρόπος για να μετακινηθείτε γύρω από την πόλη, αλλά τα λεωφορεία, τόσο στην πρωτεύουσα όσο και στις άλλες μεγάλες πόλεις, είναι καλύτερα για να πάρει στις θέσεις.",Πάρτε το μετρό είναι ένας καλός τρόπος για να βιώσετε τη ζωή της μεγάλης πόλης.,el,2
42,Ήταν τόσο βέβαιοι για τον εαυτό τους ότι το πήραν για την άδεια ότι είχε κάνει ένα λάθος».,Απλά υποθέτουν ότι θα έκανε ένα λάθος.,el,0
43,Είμαι στο σχολικό σύστημα Plano και ζω στο Richardson και υπάρχει μια πραγματική διχοτομία όσον αφορά το εκπαιδευτικό και οικονομικό υπόβαθρο των παιδιών που πρόκειται να παρακολουθήσουν αυτό το σχολείο.,Υπάρχει ένας τεράστιος αριθμός φτωχών μαθητών και πολύ λίγοι πλούσιοι.,el,1
