,premise,hypothesis,lang_abv,label
0,اور ان تبصرے کو موقت قواعد کو بیان کرنے میں غور کیا گیا تھا.,موقت میں ترقی یافتہ قوانین ان تبصرے کے ساتھ مل کر ذہن میں رکھا گیا تھا.,ur,0
1,یہ وہ مسائل ہیں جو ہم عمل میں قانونی کمپنیوں کے گروپوں کے ساتھ لڑتے ہیں، انہوں نے کہا.,ان مسائل پر عمل کرنے کی اجازت نہیں ہے.,ur,2
2,آپ جانتے ہیں کہ وہ حقیقی طور پر اپنے آپ کی حفاظت نہیں کر سکتے ہیں جیسے کسی کو بڑھا دیا گیا ہے کہ میری عمر آپ جانتے ہیں جی ہاں,وہ اپنی عمر کی وجہ سے اپنے آپ کو دفاع نہیں کر سکتے ہیں.,ur,0
3,Cockpit Country سے St. Ann's Bay تک,St. Ann's Bay سے Cockpit Country تک,ur,2
4,دیکھو، یہ آپ کی جلد ہے، لیکن آپ کو مشکل میں ہو جائے گا اگر آپ کو مشغول نہیں ہو جائے گا.,آپ کو گولی مار دی جائے گی اگر آپ کو گولی مار دی جائے گی.,ur,1
5,"""اگر آپ لوگ صرف جانتے ہیں کہ یہ کتنا آسان ہے کہ غلطی سے کسی کو مسموم کریں، تو آپ اس کے بارے میں مذاق نہیں کریں گے.",بہت سے لوگوں نے کسی کو غلطی سے مسموم کیا ہے.,ur,1
6,میری اپنی چھوٹی سی دنیا کے زاویہ، سیاست کی چمک، ایک مثال ہے.,مثال کے طور پر، پالیسیوں کو فروغ دینا ہے.,ur,0
7,زندہ رہنے کے بعد وہ پاسپورٹ کے لئے دستیاب ہے اگر یہ ہے اگر یہ زندگی ہے اور ایک دن پھر وہ پاسپورٹ کے لئے قابل نہیں ہے لہذا آپ جانتے ہیں کہ ہم نظام کے ساتھ BSing چھوڑ دیں,نظام خراب ہے کیونکہ اگر یہ زندگی اور ایک دن ہے تو وہ معافی حاصل کرنے کے قابل نہیں ہو گا.,ur,1
8,سڑکوں کو فروخت کرنے والے تاجروں کے ساتھ خراب کر دیا جاتا ہے، شیرینیوں، کارڈز اور کوکاکوٹ کی پیشکشوں کو فروخت کرتا ہے، اس کے علاوہ گارنڈز اور مقدس تصاویر.,فروخت کرنے والوں نے سڑکوں کو ٹورچ اور آگ کے ساتھ منسلک کیا ہے.,ur,2
9,Mytilini کے شمال میں، Moria کے گاؤں میں روکیں، جہاں آپ ایک عظیم رومانی پانی کے باقیات کو تلاش کریں گے جو گائے کی طرف سے احاطہ کیا جاتا ہے.,موریہ کے گاؤں میں کچھ خاص نہیں ہے.,ur,2
10,موجودہ نسلوں کی طرف سے بڑھتی ہوئی بچت ملک کی سرمایہ کاری کو بڑھائے گی، مستقبل کی نسلوں کو ملک کی معاش کے اخراجات کو بہتر طریقے سے پورا کرنے کی اجازت دے گی جبکہ اعلی معیار کی زندگی کا لطف اٹھائے گی.,موجودہ نسلوں کی بڑھتی ہوئی بچت ملک کی سرمایہ کاری کو بڑھائے گی، مستقبل کی نسلوں کو ملک کی معاش کے اخراجات کو زیادہ آسانی سے ادا کرنے کی اجازت دے گی اور اس کے ساتھ ساتھ اعلی معیار کی زندگی کا لطف اٹھائے گی.,ur,0
11,"یہ صرف شروع ہے! """,ایک عظیم سفر شروع کرنے کے لئے تیار ہے!,ur,1
12,برطانیہ کی سب سے زیادہ فروخت کی ٹیبلویڈ، سورج نے ایک پیشہ ورانہ دنیا کے طور پر جمعرات کو اعلان کیا ہے کہ ٹیکسن ماڈل جری ہال نے بڑھاپے کی راک سٹار مائیک جگجر کے خلاف طلاق کا معاملہ شروع کر دیا ہے.,سورج ہر سال لاکھوں جعلی خبریں نکالتا ہے.,ur,1
13,فلورنس میں سافونارولا آگ لگ گئی,فلورنس سافونارولا کا نیا گھر بن گیا.,ur,2
14,"یہ کرسمس ہو جائے گا! """,یہ عظیم ہو جائے گا.,ur,0
15,وہ کہتے ہیں کہ لوگ یہاں ہیں.,انہوں نے کہا کہ وہ یہاں نہیں تھے.,ur,2
16,جی ہاں جی ہاں جی ہاں جی ہاں جی ہاں جی ہاں جی ہاں جی ہاں,جی ہاں، پٹنگ اور دیگر چیزیں.,ur,0
17,تقریبا وسطی شہر Massabielle علاقہ (faubourg de Massabielle)، کبھی کبھی شہر میں سب سے زیادہ تصویر کے طور پر بیان کیا جاتا ہے.,Massabielle کے علاقے کو سب سے زیادہ photogenic سمجھا جاتا ہے.,ur,0
18,4) کافی نہیں جانا جاتا ہے کہ کس طرح غیر نقل و حمل کے اخراجات فاصلے کے ساتھ مختلف ہوتے ہیں.,کس طرح فاصلے غیر نقل و حمل کے اخراجات کو متاثر کرتا ہے ایک موضوع ہے جس پر ہم کافی معلومات نہیں رکھتے ہیں.,ur,0
19,مجھے حیرت ہے کہ ہمارے پاس اتنے لوگ ہیں جو یہاں سیاست میں نیچے ہیں,مجھے حیرت ہے کہ ان میں سے بہت سے یہاں سیاست میں نیچے نہیں ہیں.,ur,2
20,اس معاہدے کا منصوبہ تامی کی بائیٹ تھا.,یہ معاہدہ ٹام کے لئے نہیں تھا.,ur,2
21,لہذا، پیاز بنانے والوں کی تعداد واقعی توقع سے زیادہ تیزی سے بڑھ سکتی ہے.,پودوں کی تعداد توقع کے طور پر بہت کم ہو جائے گی.,ur,2
22,جب تک اسد زندہ رہتا ہے، وہ ان مسائل کا انتظام کرسکتا ہے اور اسرائیل کے ساتھ معاہدہ رکھتا ہے.,جب تک اسد نہیں مرے گا وہ مصیبتوں کی دیکھ بھال کر سکتے ہیں.,ur,0
23,چار جاوا کے بچے؟ سیرن نے پوچھا۔,یاروس کے بچوں کے بارے میں سب کچھ جانتا ہے.,ur,1
