,premise,hypothesis,lang_abv,label
0,Эти комментарии были рассмотрены при формулировании временных правил.,"Правила, разработанные в промежуточном периоде, были сочетаны с этими комментариями.",ru,0
1,"Это вопросы, с которыми мы сталкиваемся в практике с группами юридических фирм, сказала она.",Практические группы не могут работать по этим вопросам.,ru,2
2,"Вы знаете, что они действительно не могут защищать себя, как кто-то взросло, скажите моему возрасту, вы знаете, да",Они не могут защитить себя из-за своего возраста.,ru,0
3,От Cockpit Country до St. Ann's Bay,От залива Сент-Анн до страны коктейля.,ru,2
4,"Посмотрите, это ваша кожа, но вы будете в беде, если вы не заняты.","Начальник будет стрелять в вас, если он увидит, что вы раздражаетесь.",ru,1
5,"«Если бы вы люди знали, насколько смертельно легко отравить кого-то по ошибке, вы бы не шутили об этом.",Многие люди ошибочно отравляют кого-то.,ru,1
6,"Мой собственный маленький угол мира, политический крик, является примером.",Одним из примеров является политическая раздражительность.,ru,0
7,"жизнь в тюрьме, то он доступен для пароля, если это если это жизнь, а день, то он не подлежит паролю, так что, что вы знаете, давайте прекратим BSing с системой","Система коррумпирована, потому что он не сможет получить ложь, если это жизнь и день.",ru,1
8,"Улицы переплетаются с продавцами, которые продают торжественные оферты сладостей, кордов и кокоса, а также горла и священных изображений.",Продавцы заблокировали улицы трещинами и пожарами.,ru,2
9,"На севере Митилини, остановиться в деревне Мория, где вы найдете останки огромного римского акведукта, окруженного грязными козами.",В деревне Мориа ничего особенного не видно.,ru,2
10,"Увеличение экономии нынешними поколениями расширило бы запас капитала нации, позволяя будущим поколениям лучше оплачивать расходы на пенсию нации, а также наслаждаясь более высокими стандартами жизни.","Увеличение экономии нынешних поколений расширило бы запас капитала нации, позволяя будущим поколениям легче оплачивать расходы на пенсию нации, а также наслаждаясь более высокими стандартами жизни.",ru,0
11,Это только начало!»,Хорошее путешествие уже начнется!,ru,1
12,"Самый продаваемый таблоид Великобритании, The Sun, объявил в качестве эксклюзивной страницы мира в пятницу, что модель Тексана Джери Холл начала судебное разбирательство по разводу против стареющей рок-звезды Мика Яггера в Лондоне.",Солнце ежегодно выпускает миллионы фальшивых новостей.,ru,1
13,Савонарола сгорела в Флоренции,Флоренция стала новым домом Савонаролы.,ru,2
14,Это будет колоссально!»,Это будет гигантское.,ru,0
15,"Он говорит, что люди здесь.","Он сказал, что мужчины здесь не были.",ru,2
16,Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да Да,"Да, пьесы и другие вещи.",ru,0
17,"Почти в центре города квартал Массабиэль (фаубург де Массабиэль), иногда описывается как самый живописный в городе.",Квартира Massabielle считается самой фотогенной.,ru,0
