,premise,hypothesis,lang_abv,label
0,Na maoni haya yalikuwa yanahusishwa katika kutafakari sheria za muda.,Sheria zilizotengenezwa kwa muda mfupi zilichukuliwa pamoja na maoni haya.,sw,0
1,"Hizi ni masuala ambayo tunashughulikia katika vitendo vya makampuni ya kisheria, alisema.",Makundi ya mazoezi haiwezekani kufanya kazi juu ya masuala haya.,sw,2
2,Unajua kwamba hawawezi kweli kulinda wenyewe kama mtu mmoja alizalisha uh kusema umri wangu unajua yeah,Hatuwezi kulinda kwa sababu ya umri wao.,sw,0
3,Kutoka Cockpit Country kwa St. Ann's Bay,"Kwa njia hii, unaweza kukua rose ambayo inakua katika bustani yako.",sw,2
4,"Angalia, ni mwili wako, lakini utakuwa katika matatizo ikiwa hufanya kazi.",Mshambuliaji atafungua wewe kama anajua wewe kuanguka.,sw,1
5,"""Kwa wewe watu tu walijua jinsi rahisi sana ni kuharibu mtu kwa makosa, hakuwa na shaka kuhusu hilo.",Watu wengi wameua mtu kwa makosa.,sw,1
6,"Kazi yangu ndogo ya ulimwengu, kisiasa, ni mfano.",Mfano mwingine ni ukosefu wa sera.,sw,0
7,maisha katika uhuru basi yeye ni inapatikana kwa ajili ya msalaba ikiwa ni kama ni maisha na siku hiyo yeye si inapatikana kwa ajili ya msalaba hivyo nini unajua sisi kuacha BSing na mfumo,Mfumo ni uharibifu kwa sababu hakutakuwa na uwezo wa kupata msamaha ikiwa ni maisha na siku.,sw,1
8,"Njia ni kuanguka na wateja kuuza bidhaa za sakramenti za maishani, baridi, na coconut, pamoja na baridi na picha za sakramenti.",Wafanyabiashara wamekamilisha barabara na moto.,sw,2
9,"Kwa upande wa kaskazini wa Mytilini, kukaa katika mji wa Moria, ambapo utakuwa na mbegu za Aqueduct ya Roma kubwa iliyoungana na wanyama.",Hakuna kitu maalum ya kuona katika mji wa Moria.,sw,2
10,"Kuongezeka kwa uhifadhi wa kizazi cha sasa itakuwa kuongezeka kwa kiwango cha fedha cha taifa, na kuwezesha kizazi cha baadaye kufikia gharama za mapumziko za taifa kwa wakati huo huo pia kufurahia kiwango cha maisha cha juu.","Kuongezeka kwa uhifadhi wa kizazi cha sasa itakuwa kuongezeka kwa kiwango cha fedha cha taifa, na kuwezesha kizazi cha baadaye kuwa na uhakika zaidi ya kulipa gharama za mapumziko za taifa wakati pia kufurahia kiwango cha maisha cha juu.",sw,0
11,Hii ni mwanzo tu!”,Utaratibu mzuri wa safari unatarajiwa kuanza!,sw,1
12,"Tabloid maarufu ya Uingereza, The Sun, ilitangaza kama ukurasa wa mbele wa ulimwengu wa kipekee Ijumaa kwamba model ya Texan Jerry Hall imezindua kesi ya ndoa dhidi ya msichana wa rock Mick Jagger katika Mahakama Kuu ya London.",Siku ya jua hufanya mamilioni kila mwaka kuondoa habari za uongo.,sw,1
13,Savonarola kuanguka mjini Florence,Florence imekuwa nyumba mpya ya Savonarola.,sw,2
14,"Hii itakuwa ya kuvutia! """,Hii itakuwa kubwa.,sw,0
15,Alikuwa anasema wanaume ni hapa.,Alikuwa anasema kwamba watu hawaja hapa.,sw,2
16,Yeah uh-huh oh yeah kuondoa wanyama na mambo,"Hivyo, nyuma na mambo mengine.",sw,0
