,premise,hypothesis,lang_abv,label
0,और इन टिप्पणियों को अस्थायी नियमों को तैयार करने में विचार किया गया था।,अस्थायी रूप से विकसित नियमों को इन टिप्पणियों के साथ ध्यान में रखा गया था।,hi,0
1,"ये मुद्दे हैं जिनके साथ हम व्यावहारिक रूप से कानूनी कंपनियों के समूहों से लड़ रहे हैं, उन्होंने कहा।",व्यावहारिक समूहों को इन मुद्दों पर काम करने की अनुमति नहीं है।,hi,2
2,आप जानते हैं कि वे वास्तव में खुद को बचाने में सक्षम नहीं हैं जैसे कि कोई बड़ा हो गया है और कहता है कि मेरी उम्र आप जानते हैं हाँ,वे अपनी उम्र के कारण खुद का बचाव नहीं कर सकते।,hi,0
3,Cockpit Country से St. Ann's Bay तक,St. Ann's Bay से Cockpit Country तक,hi,2
4,"देखो, यह आपकी त्वचा है, लेकिन यदि आप व्यस्त नहीं हैं तो आप परेशानी में होंगे।",बॉस आपको गोली मार देगा अगर वह आपको खराब देखता है।,hi,1
5,"""यदि आप लोग केवल जानते थे कि गलती से किसी को जहर देना कितना आसान है, तो आप इसके बारे में मजाक नहीं करेंगे।",कई लोगों ने गलती से किसी को जहर दिया है।,hi,1
6,"मेरी खुद की छोटी दुनिया का कोने, राजनीति का झुकाव, एक उदाहरण है।",एक उदाहरण यह है कि राजनीति का विनाश हो रहा है।,hi,0
7,जेल में जीवन तो वह पासवर्ड के लिए उपलब्ध है अगर यह है अगर यह जीवन है और एक दिन तो वह पासवर्ड के लिए योग्य नहीं है तो आप क्या जानते हैं तो सिस्टम के साथ बीसिंग छोड़ दें,सिस्टम भ्रष्ट है क्योंकि अगर यह जीवन और एक दिन है तो वह पासवर्ड प्राप्त करने में सक्षम नहीं होगा।,hi,1
8,"सड़कों को विक्रेताओं के साथ खड़ा किया जाता है जो मिठाई, क्रेडिट और नारियल की पवित्रता की पेशकश बेचते हैं, साथ ही साथ गार्लैंड और पवित्र छवियों।",विक्रेताओं ने सड़कों को तलवारों और आग के साथ चिपकाया है।,hi,2
9,"मिटिलिनी के उत्तर में, मोरिया के गांव में रुकें, जहां आप एक विशाल रोमन एक्व्यूक्ट के अवशेष पाएंगे, जिसे खरगोशों द्वारा घिरा हुआ है।",मोरिया के गांव में देखने के लिए कुछ खास नहीं है।,hi,2
10,"वर्तमान पीढ़ियों द्वारा बढ़ती बचत देश के पूंजी स्टॉक का विस्तार करेगी, भविष्य की पीढ़ियों को देश के सेवानिवृत्ति लागतों को बेहतर ढंग से संतुष्ट करने की अनुमति देगी, साथ ही साथ उच्च जीवन स्तर का आनंद लेगी।","वर्तमान पीढ़ियों की बढ़ती बचत देश के पूंजी स्टॉक का विस्तार करेगी, जिससे भविष्य की पीढ़ियों को देश के सेवानिवृत्ति लागत का अधिक आसानी से भुगतान करने की अनुमति मिलेगी, साथ ही साथ उच्च जीवन स्तर का भी आनंद लिया जाएगा।",hi,0
11,यह सिर्फ शुरुआत है!,एक महान यात्रा शुरू करने के लिए तैयार है!,hi,1
12,"ब्रिटेन की बेहतरीन बेचने वाली टैब्लोइड, सन ने शुक्रवार को एक सामने की दुनिया के रूप में घोषणा की कि टेक्सन मॉडल जेरी हॉल ने लंदन के उच्च न्यायालय में उम्र बढ़ने वाली रॉक स्टार मिक जागर के खिलाफ तलाक की प्रक्रिया शुरू की है।",सूर्य हर साल लाखों नकली खबरों से बाहर निकलता है।,hi,1
13,फ्लोरेंस में जला हुआ सवानारोला,फ्लोरेंस सवानारोला का नया घर बन गया।,hi,2
14,यह भयानक होगा!,यह विशाल होगा।,hi,0
15,उन्होंने कहा कि लोग यहां हैं।,उन्होंने कहा कि लोग यहां नहीं थे।,hi,2
16,हाँ हाँ हाँ हाँ हाँ हाँ हाँ हाँ हाँ हाँ हाँ हाँ हाँ हाँ,"हाँ, पेटिंग और अन्य चीजें।",hi,0
17,"लगभग मध्य शहर Massabielle पड़ोस (faubourg de Massabielle), कभी-कभी शहर में सबसे चित्रकला के रूप में वर्णित किया जाता है।",Massabielle चौराहे को सबसे photogenic माना जाता है।,hi,0
18,4) पर्याप्त नहीं पता है कि गैर परिवहन की लागत दूरी के साथ कैसे भिन्न होती है।,जिस तरह से दूरी गैर परिवहन लागत को प्रभावित करती है वह एक विषय है जिसके बारे में हमारे पास पर्याप्त जानकारी नहीं है।,hi,0
19,मुझे आश्चर्य है कि हमारे पास इतने सारे हैं जो राजनीति में नीचे हैं,मुझे आश्चर्य है कि उनमें से बहुत से यहां राजनीति में नहीं हैं।,hi,2
20,समझौते का प्रस्ताव टॉमी का बाइट था।,टॉमी के लिए अनुबंध बाइट नहीं था।,hi,2
21,"इसलिए, कूलर निर्माताओं की संख्या वास्तव में उम्मीद की तुलना में तेजी से बढ़ सकती है।",कच्चे माल की संख्या उम्मीद के रूप में नाटकीय रूप से कम हो जाएगी।,hi,2
22,"जब तक असद रहता है, वह इन परेशानियों का प्रबंधन कर सकता है और इजरायल के साथ एक समझौते बनाए रख सकता है।","जब तक असद नहीं मरता, वह परेशानियों की देखभाल करने में सक्षम होगा।",hi,0
23,4 जॉब के बच्चों ने पूछा।,सीवरन जार्विस के बच्चों के बारे में सब कुछ जानता है।,hi,1
24,मेरा मस्तिष्क सही तरीके से कमांड करने से इनकार करता है।,मेरा मस्तिष्क ठीक से कमांड नहीं कर रहा था।,hi,0
25,"""इसलिए आपकी लड़की लिखती है कि आपकी छोटी अलविदा गतिविधि इतनी अच्छी तरह से काम नहीं कर रही थी, ठीक है?",आपकी अलविदा गतिविधि ठीक नहीं हुई।,hi,0
26,आपको इसके माध्यम से चलना होगा),आपको इसे पैर से गुजरना होगा।,hi,0
27,"नहीं, मैं निराश हूं, आश्चर्यचकित हूं।",“नहीं!” मैं शॉक में चिल्ला रहा था।,hi,0
28,"Bauerstein स्टाइल में एक घातक रात में था, और कहा: ""वह दो बार कहा, 'यह सब कुछ बदलता है' और मैं सोच रहा था।",स्टाइल क्या हुआ के लिए जिम्मेदार है।,hi,1
29,"लंबे समय पहले - या दूर, या कुछ भी - एक दुनिया थी जिसे तार कहा जाता था?",Erath एकमात्र दुनिया है जो कभी मौजूद है।,hi,2
30,"फिर, हर समय, यह श्रीमती इंग्लेथॉरप के बेडरूम में, हमारे नाक के नीचे गड़बड़ में था?","तो यह किसी अन्य देश में छिपा हुआ था, हमें ढूंढना असंभव था?",hi,2
31,क्योंकि मुझे हमेशा ऐसा करना पड़ा और इसलिए मैं बस इसे करने के लिए किसी और को भुगतान करता हूं और वे करते हैं जो वे करते हैं कटौती वे फल देते हैं और मुझे लगता है कि इस साल मैं कुछ परिदृश्य डालने जा रहा हूं,मैंने कभी बगीचे के लिए प्यार नहीं बनाया है।,hi,1
32,' वह अपने सॉस के बारे में थोड़ा व्यस्त हो जाती है।,उसकी सॉस इतनी जटिल है कि वह प्रत्येक सामग्री को सही करने के साथ व्यस्त है।,hi,1
33,"इसके बजाय, आज के बच्चे न केवल खुशी के छोटे बंडल हैं, बल्कि शायद विश्व सफलता और स्थिति के अंतिम प्रतीक भी हैं।","जबकि आज के बच्चे सफलता और स्थिति का प्रतीक हैं, और उनके माता-पिता भी हैं।",hi,1
34,चीन के गृह युद्ध ने हांगकांग को दुखद इको भेजा है।,जापान ने एक नागरिक युद्ध किया है।,hi,2
35,"फाउंडेशन में एक नए गैर-लाभकारी क्षमता निर्माण कार्यक्रम से सात दान आते हैं, जो दानकर्ताओं के बीच एक प्रवृत्ति का हिस्सा है जो संगठनों को मजबूत बनाने में मदद करने के लिए धन देने के लिए, कार्यक्रम सेवाओं के बजाय प्रदान करते हैं।","योगदान फाउंडेशन पर एक गैर-लाभकारी क्षमता निर्माण कार्यक्रम से आते हैं, जो दानकर्ताओं के बीच एक प्रवृत्ति का उदाहरण देते हैं जो संगठनों को बढ़ाने के लिए पैसा देते हैं और फिर उन्हें ले जाते हैं।",hi,1
36,"या, योग्यता उन लोगों के लिए सीमित हो सकती है जो पहले से ही गर्भवती हो चुके हैं, या कम से कम यौन रूप से सक्रिय; 13 वर्ष से अधिक उम्र के लोगों के लिए, या 21 वर्ष से कम उम्र के लोगों के लिए; या इसका कुछ संयोजन।",अनुमोदन की उम्र भी 21 साल की है।,hi,1
37,"इस संबंध में, एप्पल को बचाने के लिए स्टीव जॉब्स को वापस लाना जीन लाने की तरह है।",स्टीव जॉब्स एप्पल में वापस आ गए हैं।,hi,0
38,या उनके पास घर पर कोई था जो बीमार था कि उन्हें मेरा मतलब है कि आप इसे हर किसी को नहीं कर सकते,उन्हें कुछ भी करने की ज़रूरत नहीं थी।,hi,2
39,"कुछ, जैसा कि वॉल स्ट्रीट जर्नल में पेरल K. बेल की तरह, उपन्यास में मीठा से आज्ञाकारी दयालुता का एक टुकड़ा पाते हैं और कहते हैं कि भागें भावनात्मकता के किनारे पर खतरनाक हैं।",उन्होंने शिकायत की कि उपन्यास में कोई भावनाएं नहीं थीं।,hi,2
40,"कोई समस्या नहीं, अच्छी राजनीति है।","चिंता मत करो, एक अच्छी नीति।",hi,0
41,"मेट्रो (मेट्रो) शहर के चारों ओर जाने का सबसे तेज़ तरीका है, लेकिन बसें, दोनों राजधानी और अन्य बड़े शहरों में, दृश्यों में ले जाने के लिए सबसे अच्छी हैं।",मेट्रो लेना बड़े शहर के जीवन का अनुभव करने का एक अच्छा तरीका है।,hi,2
42,उन्होंने खुद के बारे में इतना सुनिश्चित किया कि उन्होंने इसे स्वीकार किया कि उसने एक गलती की थी।,वे बस मानते थे कि उसने एक गलती की है।,hi,0
