,premise,hypothesis,lang_abv,label
0,Et ces commentaires ont été pris en considération dans la formulation des règles intermédiaires.,Les règles développées dans l'interim ont été mises en compte avec ces commentaires.,fr,0
1,"Ce sont des problèmes que nous affrontons dans la pratique avec des groupes de sociétés juridiques, a-t-elle déclaré.",Les groupes de pratique ne sont pas autorisés à travailler sur ces questions.,fr,2
2,Vous savez qu'ils ne peuvent pas vraiment se défendre comme quelqu'un a grandi uh dit mon âge vous savez oui,Ils ne peuvent pas se défendre en raison de leur âge.,fr,0
3,De Cockpit Country à St. Ann's Bay,De St. Ann's Bay à Cockpit Country.,fr,2
4,"Regardez, c'est votre peau, mais vous serez en difficulté si vous n'êtes pas occupé.",Le patron vous brûlera s’il vous voit se débarrasser.,fr,1
5,"« Si vous ne saviez que combien il est fatalement facile d’en empoisonner quelqu’un par erreur, vous n’aimeriez pas s’en moquer.",Beaucoup de gens ont ennuyeux quelqu’un par erreur.,fr,1
6,"Mon propre petit coin du monde, la politique, est un exemple.","Un exemple, c’est l’écart de la politique.",fr,0
7,"vie en prison alors il est disponible pour la parole si c'est si c'est la vie et un jour alors il n'est pas éligible pour la parole donc ce que vous savez, cessons BSing avec le système",Le système est corrompu parce qu'il ne sera pas en mesure d'obtenir la parole si c'est la vie et un jour.,fr,1
8,"Les rues sont brisées avec des fournisseurs qui vendent des offres sacrées de sucreries, de courts et de coco, ainsi que des garlandes et des images sacrées.",Les vendeurs ont lié les rues avec des torches et des incendies.,fr,2
9,"Au nord de Mytilini, arrêtez-vous dans le village de Moria, où vous trouverez les restes d'un énorme aqueduct romain entouré par des moutons.",Il n'y a rien de spécial à voir dans le village de Moria.,fr,2
10,"L’augmentation des économies par les générations actuelles étendrait le capital de la nation, permettant aux générations futures de mieux payer les coûts de la retraite de la nation tout en jouissant d’un niveau de vie plus élevé.","L’augmentation des économies des générations actuelles étendrait les stocks de capital de la nation, permettant aux générations futures de payer plus facilement les coûts de retraite de la nation tout en jouissant d’un niveau de vie plus élevé.",fr,0
11,C’est juste le début! »,Un grand voyage va commencer!,fr,1
12,"Le tabloïde le plus vendu du Royaume-Uni, The Sun, a annoncé vendredi qu'un modèle de Texas, Jerry Hall, a entamé une procédure de divorce contre Mick Jagger à la Cour suprême de Londres.",Le Soleil fait des millions chaque année de fausses nouvelles.,fr,1
13,Savonarola brûlé à Florence,Florence est devenue la nouvelle maison de Savonarola.,fr,2
14,Ce sera colossal! »,Il sera géant.,fr,0
15,Il dit que les hommes sont là.,Il a dit que les hommes n'étaient pas là.,fr,2
16,Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah,"Oui, pétition et d’autres choses.",fr,0
17,"Le quartier presque centre-ville de Massabielle (faubourg de Massabielle), est parfois décrit comme le plus pittoresque de la ville.",Le quartier Massabielle est considéré comme le plus photogène.,fr,0
18,4) On ne sait pas assez sur la façon dont les coûts de non-transportation varient avec la distance.,La façon dont la distance affecte les coûts de non-transportation est un sujet sur lequel nous n’avons pas assez d’information.,fr,0
19,Je suis surpris que nous ayons tant de gens qui sont dans la politique là-bas,Je suis surpris qu'il n'y a pas beaucoup d'entre eux dans la politique.,fr,2
20,Le projet de traité était le bait de Tommy.,Le traité n’était pas pour Tommy.,fr,2
21,"Par conséquent, le nombre de cueillers peut vraiment croître plus rapidement que ce qui était supposé.",Le nombre de créateurs de boulets diminuera considérablement comme prévu.,fr,2
22,"Tant que Assad vit, il peut gérer ces problèmes et maintenir un accord avec Israël.","Tant que Assad ne meurt, il sera en mesure de prendre soin des problèmes.",fr,0
23,Les quatre enfants de Javis? demande Severn.,Severn sait tout sur les enfants de Jarvis.,fr,1
24,Mon cerveau refuse de commander correctement.,Mon cerveau ne commande pas correctement.,fr,0
25,"« Alors votre fille écrit que votre petite activité d’adieu n’a pas fonctionné si bien, eh? » il a charté.",Votre activité d’adieu n’a pas bien fonctionné.,fr,0
26,Vous devez le traverser).,Vous devez le traverser à pied.,fr,0
27,"Non, je suis exclue, surpris.",« Non! » j’ai crié en choc.,fr,0
28,"Bauerstein avait été à Styles la nuit fatale, et a ajouté: ""Il a dit deux fois: 'Cela change tout.'",Le style est responsable de ce qui s’est passé.,fr,1
