,premise,hypothesis,lang_abv,label
0,Und diese Kommentare wurden bei der Formulierung der vorläufigen Regeln berücksichtigt.,Die in der Zwischenzeit entwickelten Regeln wurden mit diesen Kommentaren in Erinnerung gebracht.,de,0
1,"Das sind die Fragen, mit denen wir in der Praxis Gruppen von Rechtsunternehmen kämpfen, sagte sie.","Praktika-Gruppen sind nicht erlaubt, auf diesen Themen zu arbeiten.",de,2
2,"Du weißt, dass sie sich nicht wirklich verteidigen können, wie jemand erwachsen ist, sagt mein Alter, du weißt ja",Sie können sich wegen ihres Alters nicht verteidigen.,de,0
3,Von Cockpit Country bis St. Ann's Bay,Von St. Ann's Bay nach Cockpit Country.,de,2
4,"Sehen Sie, es ist Ihre Haut, aber Sie werden in Problemen sein, wenn Sie nicht beschäftigt werden.","Der Chef wird dich schießen, wenn er dich schlägt.",de,1
5,"""Wenn du Leute nur wusste, wie fatal leicht es ist, jemanden durch Fehler zu vergiften, würdest du darüber nicht lachen.",Viele Menschen haben jemanden durch Fehler vergiftet.,de,1
6,"Mein eigener kleines Winkel der Welt, der politische Wanderung, ist ein Beispiel.",Ein Beispiel ist die politische Verwirrung.,de,0
7,"Leben im Gefängnis dann ist er verfügbar für Passage, wenn es ist, wenn es ist Leben und ein Tag dann ist er nicht für Passage berechtigt, so was Sie wissen, lassen Sie uns BSing mit dem System aufhören","Das System ist korrupt, weil er nicht in der Lage sein wird, Passage zu bekommen, wenn es Leben und einen Tag ist.",de,1
8,"Die Straßen sind mit Anbietern gekrümmert, die heiligen Angeboten von Süßigkeiten, Karten und Kokos, sowie Gärten und heiligen Bilder verkaufen.",Die Verkäufer haben die Straßen mit Stürzen und Feuern geschnitten.,de,2
9,"Nördlich von Mytilini, stoppen Sie im Dorf Moria, wo Sie die Reste eines riesigen römischen Aquedukts finden, umgeben von grausenden Schafen.",Es gibt nichts Besonderes in dem Dorf Moria zu sehen.,de,2
10,"Eine erhöhte Ersparung von gegenwärtigen Generationen würde das Kapitalbestand der Nation erweitern, so dass zukünftige Generationen die Rentenkosten der Nation besser bereitzustellen können und gleichzeitig höhere Lebensstandards genießen.","Eine erhöhte Ersparung der gegenwärtigen Generationen würde das Kapitalbestand der Nation erweitern, so dass zukünftige Generationen die Rentenkosten der Nation einfacher zu sich nehmen und gleichzeitig höhere Lebensstandards genießen können.",de,0
11,Das ist nur der Anfang!“,Eine großartige Reise ist an Beginn!,de,1
