,premise,hypothesis,lang_abv,label
0,И тези коментари бяха разгледани при формулирането на временните правила.,"Правилата, разработени на време, бяха съчетани с тези коментари.",bg,0
1,"Това са въпроси, с които се сблъскваме в практиката с групи от юридически фирми, каза тя.",Групите на практика не могат да работят по тези въпроси.,bg,2
2,"Вие знаете, че те наистина не могат да се защитават, както някой израснал - кажете на моята възраст, вие знаете - да",Те не могат да се защитят заради възрастта си.,bg,0
3,От Cockpit Country до St. Ann's Bay,От St. Ann's Bay до Cockpit Country.,bg,2
4,"Погледнете, това е вашата кожа, но вие ще бъдете в затруднение, ако не станете заети.","Шефът ще ви изгори, ако ви види да се счупи.",bg,1
5,"""Ако хората знаят колко е фатално лесно да отровите някого по грешка, няма да се шегувате за него.",Много хора са отровили някого с грешка.,bg,1
6,"Моят собствен малък ъгъл на света, политически проникващ, е пример.",Пример за това е политиката.,bg,0
7,"живот в затвора тогава той е на разположение за парола, ако е, ако е живот и един ден след това той не е допустим за парола, така че това, което знаете, нека се откаже BSing с системата","Системата е корумпирана, защото той няма да може да получи лозунги, ако това е живот и ден.",bg,1
8,"Улиците са счупени с продавачи, които продават свещени оферти за сладкиши, картофи и кокосови изделия, както и торти и свещени изображения.",Продавачите са затворили улиците с пукнатини и пожари.,bg,2
9,"На север от Митилини, спирайте в селото Мория, където ще намерите останките на огромен римски аквакулт, заобиколен от зърнени крави.","Няма нищо специално, което да се види в селото Мория.",bg,2
10,"Увеличаването на спестяванията от настоящите поколения ще разшири капиталовите запаси на нацията, което ще позволи на бъдещите поколения да се възползват по-добре от пенсионните разходи на нацията, като същевременно се наслаждават на по-високи нива на живот.","Увеличаването на спестяванията на настоящите поколения ще разшири капиталовите запаси на нацията, което ще позволи на бъдещите поколения по-лесно да се възползват от пенсионните разходи на нацията, като същевременно се наслаждават на по-високи нива на живот.",bg,0
11,Това е само началото!“,Голямо пътешествие ще започне!,bg,1
12,"Най-продаваният таблоид на Великобритания, The Sun, обяви като ексклузивна световна страница в петък, че моделът на Тексан Джери Хол е започнал развод срещу старата рок звезда Мик Джагър в High Court в Лондон.",Слънцето излъчва милиони фалшиви новини всяка година.,bg,1
13,Савонарола се изгори във Флоренция,Флоренция стана новият дом на Савонарола.,bg,2
14,Това ще е колосално!”,Ще бъде гигантски.,bg,0
15,"Той казва, че хората са тук.","Той каза, че мъжете не са тук.",bg,2
16,Да - да - да - да - да - да - да - да - да - да - да - да - да - да - да,"Да, петиция и други неща.",bg,0
17,"Почти в центъра на града квартал Масабиел (фаубург де Масабиел), понякога се описва като най-красивото в града.",Кварталът Massabielle се счита за най-фотогенен.,bg,0
18,4) Не е достатъчно известно как разходите за нетранспорт се различават с разстоянието.,"Начинът, по който разстоянието засяга разходите за нетранспорт, е въпрос, по който нямаме достатъчно информация.",bg,0
19,"Изненадвам се, че има толкова хора, които са тук в политиката.","Изненадвам се, че много от тях не са в политиката тук.",bg,2
20,Проектът на договора е баят на Томи.,Сделката не е за Томи.,bg,2
21,"Следователно, броят на бозайниците всъщност може да расте по-бързо, отколкото се предполагаше.","Броят на производителите ще се намали драстично, както се очаква.",bg,2
