,premise,hypothesis,lang_abv,label
0,และข้อสังเกตเหล่านี้ได้รับการพิจารณาในการกําหนดกฎระยะเวลา,กฎที่พัฒนาในระยะเวลาถูกรวมกับความคิดเห็นเหล่านี้ในความคิด,th,0
1,"นี่คือปัญหาที่เรากําลังเผชิญกับในความเป็นจริงกลุ่ม บริษัท กฎหมาย, เธอกล่าวว่า.",กลุ่มปฏิบัติไม่สามารถทํางานเกี่ยวกับปัญหาเหล่านี้ได้,th,2
2,คุณรู้ว่าพวกเขาไม่สามารถปกป้องตัวเองอย่างแท้จริงเหมือนใครผู้ใหญ่ uh กล่าวว่าอายุของฉัน คุณรู้ว่าใช่,พวกเขาไม่สามารถป้องกันตัวเองเนื่องจากอายุของพวกเขา,th,0
3,จาก Cockpit Country ไปยัง St. Ann's Bay,จาก St. Ann's Bay ไปยัง Cockpit Country,th,2
4,ดูมันเป็นผิวของคุณ แต่คุณจะอยู่ในปัญหาถ้าคุณไม่忙,ผู้ปกครองจะเผาไหม้คุณถ้าเขาเห็นคุณหลุดออก,th,1
5,"""ถ้าคุณคนรู้ว่ามันเป็นเรื่องง่ายมากที่จะเป็นพิษบางคนโดยความผิดพลาดคุณจะไม่โกงเกี่ยวกับมัน",หลายคนได้รบกวนใครบางคนด้วยความผิดพลาด,th,1
6,"มุมเล็ก ๆ ของโลกของฉันเอง, การกระตุ้นทางการเมือง, เป็นตัวอย่าง",ตัวอย่างหนึ่งคือการกระตุ้นทางนโยบาย,th,0
7,ชีวิตในอาศัยแล้วเขาสามารถใช้ได้สําหรับคําสั่งถ้ามันเป็นถ้ามันเป็นชีวิตและวันแล้วเขาไม่ได้รับคําสั่งดังนั้นสิ่งที่คุณรู้เราจะหยุด BSing กับระบบ,ระบบจะทําลายเพราะเขาจะไม่สามารถได้รับคําสั่งถ้ามันเป็นชีวิตและวัน,th,1
8,ถนนถูกกระแทกกับซัพพลายเออร์ขายของขวัญของหวานคาร์ดและมะกอกเช่นเดียวกับกางเกงและรูปภาพของพระเจ้า,ซัพพลายเออร์ได้เชื่อมโยงถนนด้วยแถบและไฟ,th,2
9,ตุ๊กตา Mytilini ตุ๊กตา Moria ตุ๊กตา Mytilini ตุ๊กตา Mytilini ตุ๊กตา Mytilini ตุ๊กตา Mytilini ตุ๊กตา Mytilini ตุ๊กตา Mytilini ตุ๊กตา Mytilini ตุ๊กตา Mytilini ตุ๊กตา Mytilini,ไม่มีสิ่งพิเศษที่จะเห็นในหมู่บ้านของ Moria,th,2
10,การประหยัดที่เพิ่มขึ้นโดยรุ่นปัจจุบันจะขยายทรัพยากรของประเทศซึ่งจะช่วยให้รุ่นในอนาคตสามารถตอบสนองได้ดีขึ้นกับค่าธรรมเนียมการพักผ่อนของประเทศในขณะที่ยังเพลิดเพลินไปกับมาตรฐานชีวิตที่สูงขึ้น,การประหยัดที่เพิ่มขึ้นของรุ่นปัจจุบันจะขยายทรัพยากรของประเทศซึ่งจะช่วยให้รุ่นในอนาคตสามารถจ่ายค่าธรรมเนียมการพักผ่อนของประเทศได้ง่ายขึ้นในขณะที่เพลิดเพลินไปกับมาตรฐานชีวิตที่สูงขึ้น,th,0
11,นี่เป็นเพียงการเริ่มต้น!”,การเดินทางที่ดีจะเริ่มขึ้น!,th,1
12,"แท็บเล็ตที่ขายดีที่สุดของสหราชอาณาจักร, The Sun, ประกาศเป็นหน้าแรกของโลกเฉพาะวันศุกร์ที่รุ่นเท็กซาน Jerry Hall ได้เริ่มกระบวนการ離婚กับดาว rock แก่แล้ว Mick Jagger ที่ High Court ในลอนดอน",ดวงอาทิตย์ทําให้ล้านทุกปีออกจากข่าวปลอม,th,1
13,Savonarola ปิดไฟในฟลอเรนซ์,ฟลอเรนซ์กลายเป็นบ้านใหม่ของ Savonarola,th,2
14,มันจะคอลูมิเนียม!”,มันจะใหญ่,th,0
15,เขาบอกว่าผู้ชายอยู่ที่นี่,เขาพูดว่าผู้ชายไม่ได้อยู่ที่นี่,th,2
16,ใช่ ใช่ ใช่ ใช่ ใช่ ใช่ ใช่,ใช่การกระแทกและสิ่งอื่น ๆ,th,0
17,พื้นที่เกือบกลางเมือง Massabielle (faubourg de Massabielle) บางครั้งอธิบายว่าเป็นที่สวยงามที่สุดในเมือง,ตาราง Massabielle ได้รับการพิจารณาเป็น photogenic ที่มากที่สุด,th,0
18,4) ไม่ทราบว่าค่าใช้จ่ายในการไม่ขนส่งจะแตกต่างกันตามระยะทาง,วิธีที่ระยะทางมีผลกระทบต่อค่าใช้จ่ายในการไม่ขนส่งเป็นเรื่องที่เราไม่มีข้อมูลเพียงพอ,th,0
19,ฉันประหลาดใจแม้ว่าเรามีจํานวนมากที่อยู่ในเมืองที่นี่,ฉันประหลาดใจว่าไม่หลายคนอยู่ในเมืองที่นี่,th,2
20,โครงการสัญญาเป็นพระคัมภีร์ของ Tommy,บ้าสัญญาไม่ได้สําหรับ Tommy,th,2
21,ดังนั้นจํานวนผู้ผลิตเครื่องปรุงอาหารอาจเติบโตเร็วขึ้นกว่าที่คาดหวัง,จํานวนผู้ผลิตฝักบัวจะลดลงอย่างรุนแรงตามที่คาดหวัง,th,2
22,ในขณะที่ Assad มีชีวิตเขาสามารถจัดการปัญหาเหล่านี้และรักษาข้อตกลงกับอิสราเอล,ในขณะที่ Assad ไม่ตายเขาจะสามารถดูแลปัญหา,th,0
23,สี่เด็ก Javis? ถาม Severn.,Severn เรียนรู้ทุกอย่างเกี่ยวกับเด็ก Jarvis,th,1
24,สมองของฉันปฏิเสธที่จะสั่งซื้ออย่างถูกต้อง,สมองของฉันไม่ได้รับคําสั่งที่เหมาะสม,th,0
25,"""ดังนั้นสาวของคุณเขียนว่ากิจกรรมการอ้างอิงเล็ก ๆ ของคุณไม่ได้ทํางานได้ดีหรือไม่"" เขาอธิบาย",กิจกรรมตื่นเต้นของคุณไม่ได้ทํางานได้ดี,th,0
26,คุณต้องเดินผ่านมัน),คุณต้องผ่านมันบนเท้า,th,0
27,ไม่ฉันถูกยกเว้นแปลกใจ,“ไม่!” ฉันกลัวในความช็อค,th,0
28,"Bauerstein มีอยู่ใน Styles ในคืนที่เสียชีวิตและเพิ่ม: ""เขาพูดสองครั้ง 'มันเปลี่ยนทุกอย่าง' และฉันกําลังคิด",สไตล์รับผิดชอบสําหรับสิ่งที่เกิดขึ้น,th,1
29,หลายปีที่ผ่านมา - หรือห่างไกลหรืออะไร - มีโลกที่เรียกว่า Thar และอื่นที่เรียกว่า Erath,Erath เป็นโลกเดียวที่เคยมีอยู่,th,2
30,จากนั้นตลอดเวลามันอยู่ในช่องคลอดในห้องนอนของม. Inglethorp ภายใต้鼻子ของเราเองหรือไม่? ฉันกลัว,ดังนั้นมันถูกซ่อนไว้ในประเทศอื่น ๆ ไม่สามารถพบได้หรือไม่,th,2
31,เพราะฉันต้องทํามันเสมอและดังนั้นฉันเพียงแค่จ่ายคนอื่นที่จะทํามันและพวกเขาทําสิ่งที่พวกเขาทําการตัดพวกเขารักพวกเขา um edge และ um ฉันคิดว่าในปีนี้ฉันจะมีบางภูมิทัศน์ที่วางไว้ใน,ฉันไม่เคยพัฒนาความรักสําหรับสวน,th,1
32,"""เธอได้รับเล็กน้อย obsessive เกี่ยวกับซอสของเธอ",ซอสของเธอเป็นเรื่องซับซ้อนมากที่เธอถูก obsessed กับสมบูรณ์ของแต่ละส่วนผสม,th,1
33,แทนนั้นเด็กวันนี้ไม่เพียง แต่เป็นชุดเล็ก ๆ ของความสุข แต่ยังเป็นสัญลักษณ์สุดท้ายของความสําเร็จและสถานะในโลก,ในขณะที่เด็กวันนี้เป็นสัญลักษณ์ของความสําเร็จและสถานะและพ่อแม่ของพวกเขาเป็นเช่นกัน,th,1
34,การสงครามเมืองของประเทศจีนส่งอีโคที่น่าตื่นเต้นไปยังฮ่องกง,ญี่ปุ่นได้ต่อสู้ในสงครามเมือง,th,2
35,สองเงินทุนจะไหลจากโปรแกรมสร้างความสามารถแบบไม่มีผลกําไรใหม่ในฐานะที่เป็นส่วนหนึ่งของแนวโน้มในหมู่นักจิตวิญญาณที่จะให้เงินเพื่อช่วยให้องค์กรกลายเป็นที่แข็งแกร่งมากกว่าบริการโปรแกรมที่พวกเขามี,"การอนุมัติไหลจากโปรแกรม Nonprofit Capacity Building at the foundation, ตัวอย่างของแนวโน้มในหมู่นักจิตวิญญาณที่จะให้เงินที่จะเติบโตองค์กรและจากนั้นที่จะใช้พวกเขา.",th,1
36,หรือการรับรองอาจถูก จํากัด สําหรับผู้ที่ตั้งครรภ์แล้วหรืออย่างน้อยมีกิจกรรมทางเพศ สําหรับผู้ที่อายุมากกว่า 13 ปีหรือต่ํากว่า 21 ปีหรือการรวมกันบางอย่างของพวกเขา,อายุการอนุมัติคือ 21 ปี,th,1
37,ในเรื่องนี้นํา Steve Jobs กลับเพื่อบันทึกแอปเปิ้ลเป็นเหมือนนํา Gen,Steve Jobs กลับไปที่ Apple,th,0
38,หรือพวกเขามีคนในบ้านที่เจ็บปวดที่พวกเขามีแนวโน้มที่จะหมายความว่าคุณไม่สามารถทําให้มันทุกคน,พวกเขาไม่มีอะไรที่จะทํา,th,2
39,"จาก Generation to Generation (Michiko Kakutani, The New York Times) บางคนเช่น Pearl K. Bell ใน The Wall Street Journal จะพบความซับซ้อนของความซับซ้อนของความซับซ้อนของความซับซ้อนของความซับซ้อนของความซับซ้อนของความซับซ้อนของความซับซ้อนของความซับซ้อนของความซับซ้อนของความซับซ้อน",พวกเขาร้องเรียนว่าหนังสือเล่มขาดอารมณ์ใด ๆ,th,2
40,สวัสดีไม่มีปัญหา นโยบายที่ดี,ไม่ต้องกังวล นโยบายที่ดี,th,0
41,M??tro (รถไฟใต้ดิน) เป็นวิธีที่เร็วที่สุดในการเคลื่อนไหวรอบเมือง แต่รถบัสทั้งในเมืองหลวงและเมืองใหญ่อื่น ๆ เป็นสิ่งที่ดีที่สุดที่จะนําไปสู่สถานที่ท่องเที่ยว,ใช้รถไฟใต้ดินเป็นวิธีที่ดีในการสัมผัสกับชีวิตของเมืองใหญ่,th,2
42,"พวกเขามีความมั่นใจว่าพวกเขามีความมั่นใจว่าพวกเขามีความมั่นใจว่าเขามีความผิดพลาด""",พวกเขาคิดว่าเขาจะทําความผิดพลาด,th,0
43,I'm on I'm in the Plano school system and living in Richardson and there is a real dicotomy in terms of educational and economic background of the children who are going to be attending this school,มีจํานวนมากของนักเรียนที่ค่อนข้างค่อนข้างค่อนข้างค่อนข้างค่อนข้างค่อนข้างค่อนข้างค่อนข้างค่อนข้างค่อนข้างค่อนข้างค่อนข้าง,th,1
44,ดีและฉันคิดว่าเราเพียงแค่ยึดฉันคิดว่าเราไม่จําเป็นต้องทําอะไรอื่น,นี่คือมันเราเพียงแค่ยึดขึ้นไม่?,th,0
45,พวกเขาได้รับเงินทุนจากทรัพยากรธรรมชาติโดยใช้เกลือเพื่อรักษาปลาซึ่งพวกเขาส่งออกไปยังประเทศของพวกเขา,พวกเขาใช้เกลือเพื่อรักษาปลาและส่งมันกลับบ้าน,th,0
46,ข่าวขอให้ผู้ใช้คอมพิวเตอร์เลือกรหัสผ่านที่ชัดเจนและง่ายและทําให้ผู้ดูแลระบบหลงใหลเพื่อหลงใหลมาตรการรักษาความปลอดภัยพื้นฐาน,โพสต์ข่าวไม่รับผิดชอบต่อผู้ใช้หรือผู้ดูแลระบบสําหรับการละเมิดความปลอดภัย,th,2
47,สําหรับความสุขของพวกเขาเขาจะพิสูจน์พวกเขาถูกต้อง,เขาแสดงให้เห็นว่าพวกเขาถูกต้อง,th,0
