,premise,hypothesis,lang_abv,label
0,这些评论在制定临时规则时被考虑。,暂时开发的规则与这些评论相结合。,zh,0
1,"这些问题,我们在实践中与法律公司的团体作斗争,她说。",实习团体不允许在这些问题上工作。,zh,2
2,"你知道他们真的不能像成年人那样自卫,你知道我的年龄,你知道是的。",他们不能因为自己的年龄而自卫。,zh,0
3,从Cockpit Country到St. Ann's Bay,从圣安湾到Cockpit Country。,zh,2
4,"看,这是你的皮肤,但如果你不忙,你会遇到麻烦。","老板会把你烧掉,如果他看到你被打破。",zh,1
5,"“如果你的人只知道是多么容易错误地毒死某人,你就不会开玩笑了。",很多人因错误中毒了某人。,zh,1
6,"我自己的小角落的世界,政治振动,是一个例子。",一个例子是政治的流动。,zh,0
7,"生活在监狱,然后他是可用的,如果是,如果是,如果是,如果是,如果是,如果是,如果是,如果是,他不适合,所以你知道什么,让我们放弃BSing与系统。","系统是腐败的,因为如果它是生命和一天,他将无法获得命令。",zh,1
8,"街道被卖家打碎,卖礼物,糖果,和椰子,以及草地和神圣的图像。",卖家们用火焰和火焰冲动了街道。,zh,2
9,"米蒂利尼北部,停在莫里亚村,在那里你会发现一个巨大的罗马水族馆的残骸,被草羊包围。","在莫里亚的村庄里,没有什么特别的可见。",zh,2
10,"现代节省的增加将扩大该国的资本库存,使未来一代能够更好地支付该国的养老金费用,同时享受更高的生活水平。","目前世代的节省增加将扩大国家资本库存,使未来的世代能够更容易地支付国家的养老金费用,同时享受更高的生活水平。",zh,0
11,“这只是开始!”,一个伟大的旅程即将开始!,zh,1
12,"英国最畅销的泰布洛伊德《太阳》周五宣布,德克萨斯模特杰里·霍尔(Jerry Hall)在伦敦高等法院对老化摇滚明星米克·贾格(Mick Jagger)起诉离婚。",太阳每年都会发出数百万假新闻。,zh,1
13,佛罗伦萨的萨瓦纳罗拉被烧毁,佛罗伦萨成为萨沃纳罗拉的新家园。,zh,2
14,“这将是可怕的!”,它将是巨大的。,zh,0
15,"他说,男人在这里。","他说,这些人不在这里。",zh,2
16,是 是 是 是 是 是 是 是 是 是,"是的,Petting和其他事情。",zh,0
17,"几乎市中心的Massabielle区(Faubourg de Massabielle),有时被称为城市中最画的。",马萨比尔区被认为是最光学的区。,zh,0
18,(四)不足以了解非运输成本与距离不同。,"距离影响非运输成本的方式是一个问题,我们没有足够的信息。",zh,0
