,premise,hypothesis,lang_abv,label
0,Ve bu yorumlar geçici kuralları formüle ederken dikkate alınmıştır.,Geçici olarak geliştirilen kurallar bu yorumlarla birlikte dikkate alınmıştır.,tr,0
1,"Bu konularda pratikte hukuk şirketlerinin gruplarıyla mücadele ediyoruz, dedi.",Bu konularda uygulama grupları çalışmaya izin verilmez.,tr,2
2,Sen biliyorsun onlar gerçekten kendilerini savunamazlar sanki birisi büyüdü oh benim yaşımı söyle sen biliyorsun evet,Yaşları nedeniyle kendilerini savunamazlar.,tr,0
3,Cockpit Country'den St. Ann's Bay'e kadar,St. Ann’s Bay’den Cockpit Country’e kadar.,tr,2
4,"Bakın, bu cildiniz, ama meşgul olmasanız sıkıntı içinde olacaksınız.","Büyükelçi sizi ateş edecek, eğer sizi yırtıyor görürse.",tr,1
5,"“Eğer insanlar birini yanlışlıkla zehirlemek ne kadar kolay olduğunu bilseydiniz, şaka yapmazdınız.",Birçok kişi yanlışlıkla birini zehirledi.,tr,1
6,"Benim kendi küçük köşem, dünya politikası, bir örnektir.",Bir örnek de politik çarpışma.,tr,0
7,Hayat hapishanede o zaman eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer eğer,"Sistem yıkılmıştır, çünkü hayat ve bir gün olsaydı söz alamazdı.",tr,1
8,"Sokaklar tatlılar, kurşunlar ve kakao teklifleri satmak için satıcılar ile çarpılmıştır, yanı sıra kurşunlar ve kutsal resimler.",Satıcılar sokakları fırtınalar ve yangınlarla doldurmuşlardır.,tr,2
9,"Mytilini'nin kuzeyinde, Moria köyünde durun, orada büyük bir Roma akvaryumunun kalıntılarını bulacaksınız.",Moria köyünde görmek için özel bir şey yok.,tr,2
10,"Mevcut nesiller tarafından tasarrufların arttırılması, ülkenin sermaye stoklarını genişletecek, gelecek nesillerin ülkenin emeklilik maliyetlerini daha iyi karşılamalarını ve aynı zamanda daha yüksek yaşam standartlarından yararlanmalarını sağlayacaktır.","Günümüz nesillerinin artan tasarrufları, ülkenin sermaye stoklarını genişletecek, gelecek nesillerin aynı zamanda daha yüksek yaşam standartlarından yararlanarak ülkenin emeklilik maliyetlerini daha kolay karşılayabilmesine izin verecektir.",tr,0
11,Bu sadece başlangıç!”,Büyük bir yolculuk başlıyor!,tr,1
12,"İngiltere'nin en çok satan tabloid olan The Sun, Texan model Jerry Hall'ın Londra'daki Yüksek Mahkemesi'nde yaşlı rock yıldızı Mick Jagger'a karşı boşanma davası başlattığını duyurdu.",Güneş her yıl milyonlarca sahte haber çıkarıyor.,tr,1
13,Fenerbahçe'de Savonarola yakıldı,Floransa Savonarola’nın yeni evidir.,tr,2
14,Korkunç bir şey olacak!”,O da dev olacak.,tr,0
15,İnsanların burada olduğunu söylüyor.,İnsanların buraya gelmediğini söyledi.,tr,2
16,Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah,"Evet, petting ve diğer şeyler.",tr,0
17,"Yaklaşık şehir merkezinde Massabielle mahallesi (faubourg de Massabielle), bazen şehrin en resimli olarak tanımlanır.",Massabielle çeyreği en fotojenik olarak kabul edilir.,tr,0
18,4) Taşıma olmayan maliyetlerin mesafe ile nasıl değişeceğini yeterince bilmiyoruz.,"Ulaşım olmayan maliyetleri etkileyen mesafe, yeterli bilgiye sahip olmadığımız bir konudur.",tr,0
19,Şaşırdığım kadarıyla burada siyasete giren çok sayıda insan var.,Şaşırdığım kadarıyla pek çok kişi burada siyaset yapmıyor.,tr,2
20,Anlaşma taslağı Tommy’nin bahçesiydi.,Bu sözleşme Tommy için değildi.,tr,2
21,"Bu nedenle, fırın üreticilerinin sayısı aslında tahmin edilenden daha hızlı büyüyebilir.",Üreticilerin sayısı beklendiği gibi önemli ölçüde azalıyor.,tr,2
22,"Assad yaşadığı sürece, bu sıkıntıları yönetebilir ve İsrail ile bir anlaşma kurabilir.","Assad ölmediği sürece, sıkıntıların üstesinden gelebilir.",tr,0
23,Dört Javis çocuğu mı? diye sordu Severn.,"Severn, Jarvis çocukları hakkında her şeyi biliyor.",tr,1
24,Beynim düzgün bir şekilde komut yapmayı reddediyor.,Beynim düzgün bir şekilde çalışmıyordu.,tr,0
25,"“Bu yüzden kızınız küçük bir veda etkinliğinizin bu kadar iyi değildiğini yazıyor, değil mi?” dedi.",“Başvuru etkinliği iyi gitmemişti.,tr,0
26,Bu yolda yürümek zorundasın.),Bunu yürüyerek geçmeniz gerekiyor.,tr,0
27,"Hiç şaşırdım, şaşırdım.",“Hayır!” diye çığlık attım şokta.,tr,0
28,"Bauerstein, ölümcül gecede Styles’teydi ve şöyle devam etti: “İki kez, ‘Her şeyi değiştirir’ dedi.",Stiller ne oldu sorumludur.,tr,1
29,"Uzun zaman önce - ya da uzakta, ya da ne olursa olsun - Thar adında bir dünya vardı? ve Erath adında bir dünya vardı.","Erath, bir zamanlar var olan tek dünya.",tr,2
30,"O zaman, bütün zamanlar, Bayan Inglethorp'in yatak odasında, burnumuzun altındaydı? diye bağırdı.","Bu yüzden başka bir ülkede gizlenmişti, bulmamız mümkün mü?",tr,2
31,"Çünkü her zaman yapmak zorunda kaldım ve bu yüzden bunu yapmak için başka birine ödeme yapıyorum ve yaptıklarını yapıyorlar, kesimlerini yapıyorlar, bir kenara ve bir kenara veriyorlar, bu yıl bir manzara koyacağımı düşünüyorum.",Bahçe sevgisini hiç geliştirmedim.,tr,1
32,Biraz sosu ile ilgileniyor.,"Onun sosu o kadar karmaşıktır ki, her maddeyi mükemmel hale getirmekle meşgul.",tr,1
33,"Daha doğrusu, çocuklar günümüzde sadece küçük sevinç paketleri değil, aynı zamanda dünya başarısı ve statüsünün muhtemelen son sembolleri.",Bugün çocuklar başarı ve statü sembolüdür ve ebeveynleri de vardır.,tr,1
34,Çin'in iç savaşı Hong Kong'a korkunç echo gönderdi.,Japonya bir iç savaşla karşı karşıya.,tr,2
