,premise,hypothesis,lang_abv,label
0,Y estos comentarios se consideraron en la formulación de las reglas interinales.,Las reglas desarrolladas en el interino se pusieron en cuenta con estos comentarios.,es,0
1,"Estas son las cuestiones que enfrentamos en la práctica con grupos de empresas de derecho, dijo.",Los grupos de prácticas no están autorizados a trabajar en estas cuestiones.,es,2
2,¿Sabes que no pueden realmente defenderse como alguien que ha crecido dice mi edad ¿Sabes sí?,No pueden defenderse debido a su edad.,es,0
3,Desde Cockpit Country hasta St. Ann's Bay,Desde St. Ann's Bay hasta Cockpit Country.,es,2
4,"Mira, es tu piel, pero estarás en problemas si no estás ocupado.",El jefe te disparará si te ve caer.,es,1
5,"""Si ustedes solo sabían cuán fácilmente es fatal envenenar a alguien por error, no habrían bromeado de ello.",Muchas personas han envenenado a alguien por error.,es,1
6,"Mi propia pequeña esquina del mundo, la política, es un ejemplo.",Uno de los ejemplos es la política.,es,0
7,"vida en la cárcel entonces él está disponible para la palabra si es si es la vida y un día entonces él no es elegible para la palabra, así que lo que usted sabe vamos a dejar BSing con el sistema",El sistema es corrupto porque no será capaz de obtener la palabra si es vida y un día.,es,1
8,"Las calles se rompen con los vendedores que venden ofertas sagradas de dulces, cortes y coco, así como garlandas y imágenes sagradas.",Los vendedores han ligado las calles con torchas y incendios.,es,2
9,"Al norte de Mytilini, se detiene en el pueblo de Moria, donde encontrarás los restos de un enorme acueduto romano rodeado de gusanos.",No hay nada especial que ver en el pueblo de Moria.,es,2
10,"El aumento de los ahorros por las generaciones actuales ampliaría el capital de la nación, permitiendo a las generaciones futuras pagar mejor los costos de la jubilación de la nación mientras también disfrutan de altos estándares de vida.","El aumento de los ahorros de las generaciones actuales ampliaría el capital de la nación, permitiendo a las generaciones futuras pagar más fácilmente los costes de la jubilación de la nación mientras también disfrutan de altos estándares de vida.",es,0
11,¡Sólo es el comienzo!”,¡Un gran viaje está a punto de empezar!,es,1
12,"El tabloide más vendido de Gran Bretaña, The Sun, anunció el viernes que el modelo texan Jerry Hall ha iniciado un procedimiento de divorcio contra la estrella rock envejecida Mick Jagger en la Corte Suprema de Londres.",El Sol hace millones cada año de noticias falsas.,es,1
13,Savonarola se quemó en Florencia,Florencia se convirtió en la nueva casa de Savonarola.,es,2
14,¡Será colossal!”,Será gigante.,es,0
15,Dicen que los hombres están aquí.,Dijo que los hombres no estaban aquí.,es,2
16,ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah,"Sí, peto y otras cosas.",es,0
17,"El barrio de Massabielle (faubourg de Massabielle), a veces se describe como el más pintoresco de la ciudad.",El barrio de Massabielle se considera el más fotogénico.,es,0
18,4) No se sabe lo suficiente sobre cómo los costes de no transporte varían con la distancia.,Las maneras en las que la distancia afecta a los costes de no transporte es un tema en el que no tenemos suficiente información.,es,0
19,"Estoy sorprendido, a pesar de que tenemos tantos que están en la política aquí",Me sorprende que no hay muchos de ellos en la política.,es,2
20,El proyecto de tratado fue la bahía de Tommy.,El pacto no fue para Tommy.,es,2
21,"Por lo tanto, el número de cocineros puede realmente crecer más rápido que lo que se suponía.",El número de productores de cocción disminuirá drásticamente como se esperaba.,es,2
22,"Mientras Asad vive, puede gestionar estos problemas y mantener un acuerdo con Israel.","Mientras Assad no muera, será capaz de cuidar de los problemas.",es,0
23,¿Los cuatro hijos de Javis? preguntó Severn.,Severn sabe todo sobre los niños de Jarvis.,es,1
24,Mi cerebro se niega a ordenar correctamente.,Mi cerebro no estaba ordenando correctamente.,es,0
25,"""Entonces su hija escribe que su pequeña actividad de despedida no funcionó tan bien, ¿verdad?""",Su despedida no va bien.,es,0
26,Tienes que pasar por eso).,Tienes que pasar por él a pie.,es,0
27,"No, me excluí, me sorprendió.",“No!” gritaba en choque.,es,0
28,"Bauerstein había estado en Styles en la noche fatal, y añadió: ""Dijo dos veces: 'Todo cambia'.",El estilo es responsable de lo que sucedió.,es,1
29,"Hace mucho tiempo —o lejos, o cualquier cosa— hubo un mundo llamado Thar?, y otro llamado Erath.",Erath es el único mundo que ha existido.,es,2
30,"Entonces, todo el tiempo, estaba en el vaso en el dormitorio de la señora Inglethorp, debajo de nuestros propios narices?","Así que estaba oculto en otro país, imposible para nosotros localizar?",es,2
31,porque siempre tenía que hacerlo y así que sólo pago a otra persona para hacerlo y ellos hacen lo que hacen el corte que fertilizan ellos um edge y um yo creo que este año voy a tener algún paisaje colocado en,Nunca he desarrollado un amor por el jardín.,es,1
32,Ella se vuelve un poco obsesiva acerca de su salsa.,Su salsa es tan complicada que está obsesionada con perfeccionar cada ingrediente.,es,1
33,"En lugar de eso, los niños de hoy no son sólo pequeños conjuntos de alegría, sino que también son quizás los símbolos finales del éxito y el estatus mundiales.","Mientras que los niños de hoy son símbolos de éxito y estatus, y sus padres son también.",es,1
34,La guerra civil china envió ecoas angustiantes a Hong Kong.,Japón luchó una guerra civil.,es,2
35,"Las siete subvenciones fluyen de un nuevo programa de construcción de capacidades sin fines de lucro en la fundación, parte de una tendencia entre los filantropistas para dar dinero para ayudar a las organizaciones a crecer más fuertes, en lugar de los servicios de programa que proporcionan.","Las subvenciones fluyen de un programa de construcción de capacidades sin fines de lucro en la fundación, lo que es un ejemplo de una tendencia entre los filantropistas para dar dinero para crecer organizaciones y luego asumirlas.",es,1
36,"O, la elegibilidad podría estar restringida a los que ya han estado embarazados, o al menos sexualmente activos; a los mayores de 13 años o menores de 21 años; o alguna combinación de ellos.",La edad de consentimiento también es de 21 años.,es,1
37,"En este sentido, traer a Steve Jobs de vuelta para salvar a Apple es como traer genes.",Steve Jobs regresa a Apple.,es,0
