,premise,hypothesis,lang_abv,label
0,وقد تم النظر في هذه التعليقات في صياغة القواعد المؤقتة.,تم وضع القواعد التي تم تطويرها في الوقت المناسب مع هذه التعليقات في الاعتبار.,ar,0
1,هذه هي القضايا التي نواجهها في الممارسة العملية مع مجموعات من شركات القانون، كما قالت.,لا يسمح لمجموعات الممارسة بالعمل على هذه القضايا.,ar,2
2,أنت تعرف أنهم لا يستطيعون حقا الدفاع عن أنفسهم كما يقول شخص بالغ أوه العمر أنت تعرف نعم,لا يستطيعون الدفاع عن أنفسهم بسبب عمرهم.,ar,0
3,من Cockpit Country إلى St. Ann's Bay,من خليج سانت آن إلى بلد كوكبيت.,ar,2
4,انظر، انها بشرتك، ولكن سوف تكون في مشكلة إذا كنت لا تصبح مشغولا.,سوف يطلق النار عليك الزعيم إذا رأيتك تتلاشى.,ar,1
5,"""إذا كنتم تعلمون كم من السهل أن تسمموا بعضكم البعض عن طريق الخطأ، فلن تضحكون من ذلك.",كثير من الناس قد تسمم شخص ما عن طريق الخطأ.,ar,1
6,إن زاوية بلدي الصغيرة في العالم، والسياسة، هي مثال.,ومن الأمثلة على ذلك سياسة الازدحام.,ar,0
7,الحياة في السجن ثم هو متاح للحكم إذا كان إذا كان الحياة ثم يوم ثم هو غير مؤهل للحكم لذلك ما تعرف دعونا نترك BSing مع النظام,النظام فاسد لأنه لن يكون قادرا على الحصول على الشهادة إذا كان الحياة واليوم.,ar,1
8,تشتت الشوارع مع البائعين الذين يبيعون العروض المقدسة من الحلوى والشوكولاتة والطماطم، فضلا عن الحلوى والصور المقدسة.,وقد ربط البائعون الشوارع بالحرائق والنار.,ar,2
9,شمال ميتيليني ، توقف في قرية موري ، حيث ستجد بقايا حوض السمك الروماني الضخم المحيط بالخنازير.,لا يوجد شيء خاص لرؤيته في قرية موريا.,ar,2
10,إن زيادة الادخار من قبل الأجيال الحالية ستوسع حصص رأس المال في البلاد، مما يتيح للأجيال المستقبلية أن تستفيد بشكل أفضل من تكاليف التقاعد في البلاد وتتمتع أيضًا بمستويات أعلى من المعيشة.,إن الادخار المتزايد للأجيال الحالية سوف يوسع حصص رأس المال في البلاد، مما يسمح للأجيال المستقبلية بالتعامل بسهولة أكبر مع تكاليف التقاعد في البلاد مع الاستمتاع بمستويات أعلى من المعيشة.,ar,0
11,"إنها مجرد البداية!""",رحلة رائعة على وشك البدء!,ar,1
12,"أعلنت شركة ""الشمس"" البريطانية الأكثر مبيعا يوم الجمعة بأن نموذج ""تيكسان"" جيري هول قد بدأ محاكمة الطلاق ضد نجمة الروك ""ميك جاغر"" في المحكمة العليا في لندن.",الشمس تجعل الملايين كل عام من الأخبار الكاذبة.,ar,1
13,سافونارولا تحترق في فلورنسا,فلورنسا أصبحت منزل سافونارولا الجديد.,ar,2
14,سيكون كولوسياً! »,سوف تكون ضخمة.,ar,0
15,يقول إن الرجال هنا.,وقال إن الرجال لم يكونوا هنا.,ar,2
16,نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم,نعم، الخنازير وغيرها من الأشياء.,ar,0
17,مقاطعة Massabielle تقريبا وسط المدينة (faubourg de Massabielle) ، يُصف أحيانًا بأنه الأكثر صورة في المدينة.,يعتبر مقاطعة Massabielle الأكثر فوتوجينية.,ar,0
18,4) ليس من المعروف بما فيه الكفاية كيف تختلف تكاليف عدم النقل مع المسافة.,الطرق التي تؤثر فيها المسافة على تكاليف عدم النقل هي موضوع ليس لدينا ما يكفي من المعلومات حول.,ar,0
19,أنا مندهش على الرغم من أن لدينا الكثير من الذين هم في السياسة أسفل هنا,ومن المثير للدهشة أن الكثيرين منهم ليسوا في السياسة هنا.,ar,2
20,مشروع المعاهدة كان حديقة تومي.,لم تكن المفاوضات المفروضة على تومي.,ar,2
21,ولهذا السبب، قد ينمو عدد المصنعين في الواقع بشكل أسرع مما كان متوقعا.,وسوف ينخفض عدد المصنعين الحبوب بشكل كبير كما هو متوقع.,ar,2
22,طالما كان الأسد على قيد الحياة، فإنه قادر على التعامل مع هذه المشاكل والحفاظ على اتفاق مع إسرائيل.,طالما أن الأسد لا يموت سيكون قادرا على رعاية المشاكل.,ar,0
23,أربعة أطفال يافيس؟ سأل سيفرن.,سيفرن يعرف كل شيء عن أطفال جارفيس.,ar,1
24,عقلي يرفض القيادة بشكل صحيح.,لم يكن عقلي يتصرف بشكل صحيح.,ar,0
25,"""لذلك تكتب الفتاة أن نشاط الوداع الصغير لم يكن جيدًا ، أليس كذلك؟"" قال.",عمل الوداع لم يذهب بشكل جيد.,ar,0
26,عليك أن تسير من خلالها).,عليك أن تمر من خلالها على الأقدام.,ar,0
27,لا، أنا أستبعد، مندهش.,“لا!” صرخت في صدمة.,ar,0
28,"وكان باوشتاين في ستيلس في الليلة المميتة، وأضاف: ""قال مرتين: 'هذا يغير كل شيء.'",النمط هو المسؤول عن ما حدث.,ar,1
29,قبل فترة طويلة - أو بعيدا، أو أي شيء - كان هناك عالم يدعى ثار؟ والآخر يدعى إراث.,Erath هو العالم الوحيد الذي كان موجودا من أي وقت مضى.,ar,2
30,ثم، طوال الوقت، كان في الحوض في غرفة نوم السيدة إنجلتورب، تحت أنفنا؟ صرخت.,لذلك كان مخفيًا في بلد آخر ، فهل من المستحيل لنا العثور عليه؟,ar,2
31,لأنني كنت دائما بحاجة إلى القيام به وهكذا أنا فقط دفع شخص آخر للقيام به وهم يفعلون ما يفعلون القطع أنهم يخصبون أنهم حافة وأنا أعتقد هذا العام سأكون لدي بعض المناظر الطبيعية وضعت في,لم أكن أبدًا أحب الحديقة.,ar,1
32,أصبحت مهووسة قليلاً عن ملحها.,صلصة لها معقدة لدرجة أنها مشغولة بتحسين كل مكون.,ar,1
33,بدلاً من ذلك، فإن الأطفال اليوم ليسوا مجرد مجموعات صغيرة من الفرح، بل هم أيضاً بالتأكيد الرموز النهائية للنجاح العالمي والوضع.,في حين أن الأطفال اليوم هم رموز النجاح والوضع، والآباء هم أيضا.,ar,1
34,الحرب الأهلية الصينية أرسلت إخوة مروعة إلى هونغ كونغ.,اليابان تحارب الحرب الأهلية,ar,2
35,وتدفق سبعة منحة من برنامج بناء القدرات غير الربحية الجديد في المؤسسة، وهو جزء من اتجاه بين المتطوعين في إعطاء الأموال لمساعدة المنظمات على النمو أقوى، بدلاً من الخدمات البرمجية التي تقدمها.,وتدفق المنح من برنامج بناء القدرات غير الربحية في المؤسسة، مما يمثل اتجاهًا بين الفيلانتروبيين في إعطاء الأموال لنمو المنظمات ومن ثم استيعابها.,ar,1
36,أو، يمكن أن تكون مؤهلة محدودة لأولئك الذين كانوا حاملا بالفعل، أو على الأقل نشطة جنسيا؛ لأولئك الذين تزيد أعمارهم عن 13 عاما، أو أقل من 21 عاما؛ أو بعض مزيج منها.,عمر الموافقة هو أيضا 21 سنة.,ar,1
37,في هذا الصدد ، إعادة ستيف جوبز لإنقاذ أبل يشبه إحضار الجينات.,ستيف جوبز يعود إلى أبل,ar,0
38,أو كان لديهم شخص ما في المنزل الذي كان مريضا أن كان لديهم أن يميل لي يعني أنك لا يمكن أن تجعل ذلك الجميع,لم يكن لديهم أي شيء للقيام به.,ar,2
39,من جيل إلى جيل (ميشيكو كاكوتاني، صحيفة نيويورك تايمز).بعضهم، مثل بيرل كي بل في صحيفة وول ستريت جورنال، يجد في الرواية نجاحًا لطيفًا ومتسامحًا، ويقول إن الأجزاء خطيرة على حافة العاطفة.,كانوا يشتكون من أن الرواية تفتقر إلى أي مشاعر.,ar,2
40,لا مشكلة، سياسة جيدة.,لا تقلق، سياسة جيدة.,ar,0
41,الطريق السريع هو الطريق السريع للتحرك في جميع أنحاء المدينة، ولكن الحافلات، سواء في العاصمة والمدن الكبيرة الأخرى، هي الأفضل لاتخاذ في المعالم السياحية.,أخذ المترو هو وسيلة جيدة لتجربة حياة المدينة الكبيرة.,ar,2
